RATE,TYPE,LOCATIONID,TS
2940,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:07.685"
720,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:07.685"
3660,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:07.685"
2940,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:20.470"
720,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:20.470"
3660,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:20.470"
2940,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:33.720"
720,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:33.720"
3660,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:33.720"
2940,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:46.488"
720,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:46.489"
3660,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:46.489"
2940,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:59.956"
720,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:59.956"
3660,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:42:59.956"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:14.158"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:14.158"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:14.158"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:28.127"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:28.127"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:28.127"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:41.372"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:41.372"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:41.372"
2520,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:54.808"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:54.808"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:43:54.808"
3240,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:08.069"
120,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:08.069"
3360,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:08.069"
3240,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:22.084"
120,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:22.085"
3360,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:22.085"
3240,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:36.275"
120,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:36.275"
3360,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:36.275"
3240,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:50.074"
120,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:50.074"
3360,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:47:50.074"
3240,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:04.911"
120,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:04.911"
3360,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:04.911"
2220,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:17.888"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:17.888"
2580,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:17.888"
2220,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:31.857"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:31.857"
2580,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:31.857"
2220,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:45.331"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:45.331"
2580,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:45.331"
2220,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:58.407"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:58.407"
2580,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:48:58.407"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:10.365"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:10.365"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:10.365"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:24.351"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:24.351"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:24.351"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:38.703"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:38.703"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:38.703"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:50:53.598"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.589"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.589"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:07.590"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:21.424"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
2520,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:35.632"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:50.108"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:51:50.108"
